Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
18,CUPID.NS,409.4,6224.19K,Consumer Non-Durables,Household/Personal Care,98.0,97.0,97.0,98.0,3574.30K,3993.97K,419.0,55.75,109.91B,No
31,TAKE.NS,34.85,1586.46K,Technology Services,Information Technology Services,98.0,95.0,98.0,98.0,1382.24K,1816.84K,35.0,6.51,5.10B,No
35,BGRENERGY.NS,337.05,96.29K,Industrial Services,Engineering & Construction,97.0,7.0,94.0,97.0,280.42K,170.40K,490.8,69.05,24.37B,No
40,MAHASTEEL.NS,835.0,3.11K,Non-Energy Minerals,Steel,97.0,86.0,97.0,97.0,47.16K,12.15K,838.0,179.53,13.74B,No
55,WAAREEINDO.NS,433.9,69.80K,Electronic Technology,Electronic Equipment/Instruments,97.0,1.0,,,179.92K,109.14K,725.0,165.07,18.05B,No
65,INDOTHAI.NS,386.55,123.83K,Finance,Investment Banks/Brokers,96.0,54.0,97.0,96.0,735.39K,160.96K,466.35,108.0,47.06B,No
76,NORBTEAEXP.NS,72.03,0.62K,Consumer Non-Durables,Food: Specialty/Candy,96.0,94.0,95.0,96.0,3.01K,3.63K,76.0,18.81,1.12B,No
78,SABTNL.NS,1698.9,95.67K,Consumer Services,Movies/Entertainment,96.0,98.0,96.0,97.0,50.53K,124.10K,2047.65,352.6,43.11B,No
85,VENUSREM.NS,784.15,62.54K,Health Technology,Pharmaceuticals: Major,96.0,97.0,97.0,94.0,96.04K,79.71K,839.8,270.25,10.48B,No
87,LUMAXTECH.NS,1575.7,621.12K,Producer Manufacturing,Auto Parts: Oem,96.0,91.0,95.0,93.0,277.30K,181.64K,1596.0,449.0,107.40B,No
90,SOMATEX.NS,106.94,18.36K,Process Industries,Textiles,96.0,5.0,94.0,97.0,30.99K,9.41K,161.25,34.53,3.54B,No
91,MEGASOFT.NS,181.91,57.12K,Technology Services,Information Technology Services,96.0,36.0,88.0,95.0,282.59K,103.76K,231.0,49.06,13.42B,No
100,CURAA.NS,122.0,0.14K,Technology Services,Information Technology Services,95.0,2.0,0.0,58.0,1.03K,0.64K,337.0,24.43,1.34B,No
101,KMEW.NS,3583.0,297.28K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,97.0,97.0,96.0,109.61K,164.96K,3628.6,1264.05,43.86B,No
105,IFBAGRO.NS,1221.0,13.02K,Consumer Non-Durables,Beverages: Alcoholic,95.0,4.0,96.0,93.0,76.55K,22.22K,1640.0,440.0,11.48B,No
109,STALLION.NS,216.53,154.98K,Distribution Services,Wholesale Distributors,95.0,78.0,75.0,97.0,2204.69K,539.51K,423.8,60.0,17.18B,No
110,TERASOFT.NS,461.65,15.28K,Technology Services,Information Technology Services,95.0,4.0,90.0,94.0,23.25K,17.87K,598.0,159.55,5.78B,No
112,ATHERENERG.NS,685.25,2476.17K,Consumer Durables,Motor Vehicles,95.0,86.0,91.0,96.0,4072.24K,2004.70K,790.0,288.15,261.36B,No
114,LUMAXIND.NS,5603.0,12.85K,Producer Manufacturing,Auto Parts: Oem,95.0,93.0,93.0,94.0,29.61K,22.68K,5870.0,1960.0,52.38B,No
125,IZMO.NS,835.35,29.89K,Technology Services,Packaged Software,95.0,60.0,60.0,97.0,96.17K,66.90K,1374.7,229.7,12.52B,No
